"","id","name","chain"
"1",401,"kricketot","kricketot kricketune"
"2",402,"kricketune","kricketot kricketune"
"3",403,"shinx","shinx luxio luxray"
"4",404,"luxio","shinx luxio luxray"
"5",405,"luxray","shinx luxio luxray"
"6",406,"budew","budew roselia roserade"
"7",407,"roserade","budew roselia roserade"
"8",408,"cranidos","cranidos rampardos"
"9",409,"rampardos","cranidos rampardos"
"10",410,"shieldon","shieldon bastiodon"
"11",411,"bastiodon","shieldon bastiodon"
"12",412,"burmy","burmy wormadam mothim"
"13",413,"wormadam-plant","burmy wormadam mothim"
"14",414,"mothim","burmy wormadam mothim"
"15",415,"combee","combee vespiquen"
"16",416,"vespiquen","combee vespiquen"
"17",417,"pachirisu","pachirisu"
"18",418,"buizel","buizel floatzel"
"19",419,"floatzel","buizel floatzel"
"20",420,"cherubi","cherubi cherrim"
"21",421,"cherrim","cherubi cherrim"
"22",422,"shellos","shellos gastrodon"
"23",423,"gastrodon","shellos gastrodon"
"24",424,"ambipom","aipom ambipom"
"25",425,"drifloon","drifloon drifblim"
"26",426,"drifblim","drifloon drifblim"
"27",427,"buneary","buneary lopunny"
"28",428,"lopunny","buneary lopunny"
"29",429,"mismagius","misdreavus mismagius"
"30",430,"honchkrow","murkrow honchkrow"
"31",431,"glameow","glameow purugly"
"32",432,"purugly","glameow purugly"
"33",433,"chingling","chingling chimecho"
"34",434,"stunky","stunky skuntank"
"35",435,"skuntank","stunky skuntank"
"36",436,"bronzor","bronzor bronzong"
"37",437,"bronzong","bronzor bronzong"
"38",438,"bonsly","bonsly sudowoodo"
"39",439,"mime-jr","mime-jr mr-mime"
"40",440,"happiny","happiny chansey blissey"
"41",441,"chatot","chatot"
"42",442,"spiritomb","spiritomb"
"43",443,"gible","gible gabite garchomp"
"44",444,"gabite","gible gabite garchomp"
"45",445,"garchomp","gible gabite garchomp"
"46",446,"munchlax","munchlax snorlax"
"47",447,"riolu","riolu lucario"
"48",448,"lucario","riolu lucario"
"49",449,"hippopotas","hippopotas hippowdon"
"50",450,"hippowdon","hippopotas hippowdon"
"51",451,"skorupi","skorupi drapion"
"52",452,"drapion","skorupi drapion"
"53",453,"croagunk","croagunk toxicroak"
"54",454,"toxicroak","croagunk toxicroak"
"55",455,"carnivine","carnivine"
"56",456,"finneon","finneon lumineon"
"57",457,"lumineon","finneon lumineon"
"58",458,"mantyke","mantyke mantine"
"59",459,"snover","snover abomasnow"
"60",460,"abomasnow","snover abomasnow"
"61",461,"weavile","sneasel weavile"
"62",462,"magnezone","magnemite magneton magnezone"
"63",463,"lickilicky","lickitung lickilicky"
"64",464,"rhyperior","rhyhorn rhydon rhyperior"
"65",465,"tangrowth","tangela tangrowth"
"66",466,"electivire","elekid electabuzz electivire"
"67",467,"magmortar","magby magmar magmortar"
"68",468,"togekiss","togepi togetic togekiss"
"69",469,"yanmega","yanma yanmega"
"70",470,"leafeon","eevee vaporeon jolteon flareon espeon umbreon leafeon glaceon sylveon"
"71",471,"glaceon","eevee vaporeon jolteon flareon espeon umbreon leafeon glaceon sylveon"
"72",472,"gliscor","gligar gliscor"
"73",473,"mamoswine","swinub piloswine mamoswine"
"74",474,"porygon-z","porygon porygon2 porygon-z"
"75",475,"gallade","ralts kirlia gardevoir gallade"
"76",476,"probopass","nosepass probopass"
"77",477,"dusknoir","duskull dusclops dusknoir"
"78",478,"froslass","snorunt glalie froslass"
"79",479,"rotom","rotom"
"80",480,"uxie","uxie"
"81",481,"mesprit","mesprit"
"82",482,"azelf","azelf"
"83",483,"dialga","dialga"
"84",484,"palkia","palkia"
"85",485,"heatran","heatran"
"86",486,"regigigas","regigigas"
"87",487,"giratina-altered","giratina"
"88",488,"cresselia","cresselia"
"89",489,"phione","manaphy"
"90",490,"manaphy","manaphy"
"91",491,"darkrai","darkrai"
"92",492,"shaymin-land","shaymin"
"93",493,"arceus","arceus"
"94",494,"victini","victini"
"95",495,"snivy","snivy servine serperior"
"96",496,"servine","snivy servine serperior"
"97",497,"serperior","snivy servine serperior"
"98",498,"tepig","tepig pignite emboar"
"99",499,"pignite","tepig pignite emboar"
"100",500,"emboar","tepig pignite emboar"
