"","id","name","chain"
"1",301,"delcatty","skitty delcatty"
"2",302,"sableye","sableye"
"3",303,"mawile","mawile"
"4",304,"aron","aron lairon aggron"
"5",305,"lairon","aron lairon aggron"
"6",306,"aggron","aron lairon aggron"
"7",307,"meditite","meditite medicham"
"8",308,"medicham","meditite medicham"
"9",309,"electrike","electrike manectric"
"10",310,"manectric","electrike manectric"
"11",311,"plusle","plusle"
"12",312,"minun","minun"
"13",313,"volbeat","volbeat"
"14",314,"illumise","illumise"
"15",315,"roselia","budew roselia roserade"
"16",316,"gulpin","gulpin swalot"
"17",317,"swalot","gulpin swalot"
"18",318,"carvanha","carvanha sharpedo"
"19",319,"sharpedo","carvanha sharpedo"
"20",320,"wailmer","wailmer wailord"
"21",321,"wailord","wailmer wailord"
"22",322,"numel","numel camerupt"
"23",323,"camerupt","numel camerupt"
"24",324,"torkoal","torkoal"
"25",325,"spoink","spoink grumpig"
"26",326,"grumpig","spoink grumpig"
"27",327,"spinda","spinda"
"28",328,"trapinch","trapinch vibrava flygon"
"29",329,"vibrava","trapinch vibrava flygon"
"30",330,"flygon","trapinch vibrava flygon"
"31",331,"cacnea","cacnea cacturne"
"32",332,"cacturne","cacnea cacturne"
"33",333,"swablu","swablu altaria"
"34",334,"altaria","swablu altaria"
"35",335,"zangoose","zangoose"
"36",336,"seviper","seviper"
"37",337,"lunatone","lunatone"
"38",338,"solrock","solrock"
"39",339,"barboach","barboach whiscash"
"40",340,"whiscash","barboach whiscash"
"41",341,"corphish","corphish crawdaunt"
"42",342,"crawdaunt","corphish crawdaunt"
"43",343,"baltoy","baltoy claydol"
"44",344,"claydol","baltoy claydol"
"45",345,"lileep","lileep cradily"
"46",346,"cradily","lileep cradily"
"47",347,"anorith","anorith armaldo"
"48",348,"armaldo","anorith armaldo"
"49",349,"feebas","feebas milotic"
"50",350,"milotic","feebas milotic"
"51",351,"castform","castform"
"52",352,"kecleon","kecleon"
"53",353,"shuppet","shuppet banette"
"54",354,"banette","shuppet banette"
"55",355,"duskull","duskull dusclops dusknoir"
"56",356,"dusclops","duskull dusclops dusknoir"
"57",357,"tropius","tropius"
"58",358,"chimecho","chingling chimecho"
"59",359,"absol","absol"
"60",360,"wynaut","wynaut wobbuffet"
"61",361,"snorunt","snorunt glalie froslass"
"62",362,"glalie","snorunt glalie froslass"
"63",363,"spheal","spheal sealeo walrein"
"64",364,"sealeo","spheal sealeo walrein"
"65",365,"walrein","spheal sealeo walrein"
"66",366,"clamperl","clamperl huntail gorebyss"
"67",367,"huntail","clamperl huntail gorebyss"
"68",368,"gorebyss","clamperl huntail gorebyss"
"69",369,"relicanth","relicanth"
"70",370,"luvdisc","luvdisc"
"71",371,"bagon","bagon shelgon salamence"
"72",372,"shelgon","bagon shelgon salamence"
"73",373,"salamence","bagon shelgon salamence"
"74",374,"beldum","beldum metang metagross"
"75",375,"metang","beldum metang metagross"
"76",376,"metagross","beldum metang metagross"
"77",377,"regirock","regirock"
"78",378,"regice","regice"
"79",379,"registeel","registeel"
"80",380,"latias","latias"
"81",381,"latios","latios"
"82",382,"kyogre","kyogre"
"83",383,"groudon","groudon"
"84",384,"rayquaza","rayquaza"
"85",385,"jirachi","jirachi"
"86",386,"deoxys-normal","deoxys"
"87",387,"turtwig","turtwig grotle torterra"
"88",388,"grotle","turtwig grotle torterra"
"89",389,"torterra","turtwig grotle torterra"
"90",390,"chimchar","chimchar monferno infernape"
"91",391,"monferno","chimchar monferno infernape"
"92",392,"infernape","chimchar monferno infernape"
"93",393,"piplup","piplup prinplup empoleon"
"94",394,"prinplup","piplup prinplup empoleon"
"95",395,"empoleon","piplup prinplup empoleon"
"96",396,"starly","starly staravia staraptor"
"97",397,"staravia","starly staravia staraptor"
"98",398,"staraptor","starly staravia staraptor"
"99",399,"bidoof","bidoof bibarel"
"100",400,"bibarel","bidoof bibarel"
