"id","name","gen","Primary.Type","Special.Defense","Speed","Health","Special.Attack","Attack","Defense"
650,"chespin",6,"grass",45,38,56,48,61,65
651,"quilladin",6,"grass",58,57,61,56,78,95
652,"chesnaught",6,"fighting",75,64,88,74,107,122
652,"chesnaught",6,"grass",75,64,88,74,107,122
653,"fennekin",6,"fire",60,60,40,62,45,40
654,"braixen",6,"fire",70,73,59,90,59,58
655,"delphox",6,"psychic",100,104,75,114,69,72
655,"delphox",6,"fire",100,104,75,114,69,72
656,"froakie",6,"water",44,71,41,62,56,40
657,"frogadier",6,"water",56,97,54,83,63,52
658,"greninja",6,"dark",71,122,72,103,95,67
658,"greninja",6,"water",71,122,72,103,95,67
659,"bunnelby",6,"normal",36,57,38,32,36,38
660,"diggersby",6,"ground",77,78,85,50,56,77
660,"diggersby",6,"normal",77,78,85,50,56,77
661,"fletchling",6,"flying",38,62,45,40,50,43
661,"fletchling",6,"normal",38,62,45,40,50,43
662,"fletchinder",6,"flying",52,84,62,56,73,55
662,"fletchinder",6,"fire",52,84,62,56,73,55
663,"talonflame",6,"flying",69,126,78,74,81,71
663,"talonflame",6,"fire",69,126,78,74,81,71
664,"scatterbug",6,"bug",25,35,38,27,35,40
665,"spewpa",6,"bug",30,29,45,27,22,60
666,"vivillon",6,"flying",50,89,80,90,52,50
666,"vivillon",6,"bug",50,89,80,90,52,50
667,"litleo",6,"normal",54,72,62,73,50,58
667,"litleo",6,"fire",54,72,62,73,50,58
668,"pyroar",6,"normal",66,106,86,109,68,72
668,"pyroar",6,"fire",66,106,86,109,68,72
669,"flabebe",6,"fairy",79,42,44,61,38,39
670,"floette",6,"fairy",98,52,54,75,45,47
671,"florges",6,"fairy",154,75,78,112,65,68
672,"skiddo",6,"grass",57,52,66,62,65,48
673,"gogoat",6,"grass",81,68,123,97,100,62
674,"pancham",6,"fighting",48,43,67,46,82,62
675,"pangoro",6,"dark",71,58,95,69,124,78
675,"pangoro",6,"fighting",71,58,95,69,124,78
676,"furfrou",6,"normal",90,102,75,65,80,60
677,"espurr",6,"psychic",60,68,62,63,48,54
678,"meowstic-male",6,"psychic",81,104,74,83,48,76
679,"honedge",6,"ghost",37,28,45,35,80,100
679,"honedge",6,"steel",37,28,45,35,80,100
680,"doublade",6,"ghost",49,35,59,45,110,150
680,"doublade",6,"steel",49,35,59,45,110,150
681,"aegislash-shield",6,"ghost",150,60,60,50,50,150
681,"aegislash-shield",6,"steel",150,60,60,50,50,150
682,"spritzee",6,"fairy",65,23,78,63,52,60
683,"aromatisse",6,"fairy",89,29,101,99,72,72
684,"swirlix",6,"fairy",57,49,62,59,48,66
685,"slurpuff",6,"fairy",75,72,82,85,80,86
686,"inkay",6,"psychic",46,45,53,37,54,53
686,"inkay",6,"dark",46,45,53,37,54,53
687,"malamar",6,"psychic",75,73,86,68,92,88
687,"malamar",6,"dark",75,73,86,68,92,88
688,"binacle",6,"water",56,50,42,39,52,67
688,"binacle",6,"rock",56,50,42,39,52,67
689,"barbaracle",6,"water",86,68,72,54,105,115
689,"barbaracle",6,"rock",86,68,72,54,105,115
690,"skrelp",6,"water",60,30,50,60,60,60
690,"skrelp",6,"poison",60,30,50,60,60,60
691,"dragalge",6,"dragon",123,44,65,97,75,90
691,"dragalge",6,"poison",123,44,65,97,75,90
692,"clauncher",6,"water",63,44,50,58,53,62
693,"clawitzer",6,"water",89,59,71,120,73,88
694,"helioptile",6,"normal",43,70,44,61,38,33
694,"helioptile",6,"electric",43,70,44,61,38,33
695,"heliolisk",6,"normal",94,109,62,109,55,52
695,"heliolisk",6,"electric",94,109,62,109,55,52
696,"tyrunt",6,"dragon",45,48,58,45,89,77
696,"tyrunt",6,"rock",45,48,58,45,89,77
697,"tyrantrum",6,"dragon",59,71,82,69,121,119
697,"tyrantrum",6,"rock",59,71,82,69,121,119
698,"amaura",6,"ice",63,46,77,67,59,50
698,"amaura",6,"rock",63,46,77,67,59,50
699,"aurorus",6,"ice",92,58,123,99,77,72
699,"aurorus",6,"rock",92,58,123,99,77,72
700,"sylveon",6,"fairy",130,60,95,110,65,65
701,"hawlucha",6,"flying",63,118,78,74,92,75
701,"hawlucha",6,"fighting",63,118,78,74,92,75
702,"dedenne",6,"fairy",67,101,67,81,58,57
702,"dedenne",6,"electric",67,101,67,81,58,57
703,"carbink",6,"fairy",150,50,50,50,50,150
703,"carbink",6,"rock",150,50,50,50,50,150
704,"goomy",6,"dragon",75,40,45,55,50,35
705,"sliggoo",6,"dragon",113,60,68,83,75,53
706,"goodra",6,"dragon",150,80,90,110,100,70
707,"klefki",6,"fairy",87,75,57,80,80,91
707,"klefki",6,"steel",87,75,57,80,80,91
708,"phantump",6,"grass",60,38,43,50,70,48
708,"phantump",6,"ghost",60,38,43,50,70,48
709,"trevenant",6,"grass",82,56,85,65,110,76
709,"trevenant",6,"ghost",82,56,85,65,110,76
710,"pumpkaboo-average",6,"grass",55,51,49,44,66,70
710,"pumpkaboo-average",6,"ghost",55,51,49,44,66,70
711,"gourgeist-average",6,"grass",75,84,65,58,90,122
711,"gourgeist-average",6,"ghost",75,84,65,58,90,122
712,"bergmite",6,"ice",35,28,55,32,69,85
713,"avalugg",6,"ice",46,28,95,44,117,184
714,"noibat",6,"dragon",40,55,40,45,30,35
714,"noibat",6,"flying",40,55,40,45,30,35
715,"noivern",6,"dragon",80,123,85,97,70,80
715,"noivern",6,"flying",80,123,85,97,70,80
716,"xerneas",6,"fairy",98,99,126,131,131,95
717,"yveltal",6,"flying",98,99,126,131,131,95
717,"yveltal",6,"dark",98,99,126,131,131,95
718,"zygarde",6,"ground",95,95,108,81,100,121
718,"zygarde",6,"dragon",95,95,108,81,100,121
719,"diancie",6,"fairy",150,50,50,100,100,150
719,"diancie",6,"rock",150,50,50,100,100,150
720,"hoopa",6,"ghost",130,70,80,150,110,60
720,"hoopa",6,"psychic",130,70,80,150,110,60
721,"volcanion",6,"water",90,70,80,130,110,120
721,"volcanion",6,"fire",90,70,80,130,110,120
