"","id","name","chain"
"1",1,"bulbasaur","bulbasaur ivysaur venusaur"
"2",2,"ivysaur","bulbasaur ivysaur venusaur"
"3",3,"venusaur","bulbasaur ivysaur venusaur"
"4",4,"charmander","charmander charmeleon charizard"
"5",5,"charmeleon","charmander charmeleon charizard"
"6",6,"charizard","charmander charmeleon charizard"
"7",7,"squirtle","squirtle wartortle blastoise"
"8",8,"wartortle","squirtle wartortle blastoise"
"9",9,"blastoise","squirtle wartortle blastoise"
"10",10,"caterpie","caterpie metapod butterfree"
"11",11,"metapod","caterpie metapod butterfree"
"12",12,"butterfree","caterpie metapod butterfree"
"13",13,"weedle","weedle kakuna beedrill"
"14",14,"kakuna","weedle kakuna beedrill"
"15",15,"beedrill","weedle kakuna beedrill"
"16",16,"pidgey","pidgey pidgeotto pidgeot"
"17",17,"pidgeotto","pidgey pidgeotto pidgeot"
"18",18,"pidgeot","pidgey pidgeotto pidgeot"
"19",19,"rattata","rattata raticate"
"20",20,"raticate","rattata raticate"
"21",21,"spearow","spearow fearow"
"22",22,"fearow","spearow fearow"
"23",23,"ekans","ekans arbok"
"24",24,"arbok","ekans arbok"
"25",25,"pikachu","pichu pikachu raichu"
"26",26,"raichu","pichu pikachu raichu"
"27",27,"sandshrew","sandshrew sandslash"
"28",28,"sandslash","sandshrew sandslash"
"29",29,"nidoran-f","nidoran-f nidorina nidoqueen"
"30",30,"nidorina","nidoran-f nidorina nidoqueen"
"31",31,"nidoqueen","nidoran-f nidorina nidoqueen"
"32",32,"nidoran-m","nidoran-m nidorino nidoking"
"33",33,"nidorino","nidoran-m nidorino nidoking"
"34",34,"nidoking","nidoran-m nidorino nidoking"
"35",35,"clefairy","cleffa clefairy clefable"
"36",36,"clefable","cleffa clefairy clefable"
"37",37,"vulpix","vulpix ninetales"
"38",38,"ninetales","vulpix ninetales"
"39",39,"jigglypuff","igglybuff jigglypuff wigglytuff"
"40",40,"wigglytuff","igglybuff jigglypuff wigglytuff"
"41",41,"zubat","zubat golbat crobat"
"42",42,"golbat","zubat golbat crobat"
"43",43,"oddish","oddish gloom vileplume bellossom"
"44",44,"gloom","oddish gloom vileplume bellossom"
"45",45,"vileplume","oddish gloom vileplume bellossom"
"46",46,"paras","paras parasect"
"47",47,"parasect","paras parasect"
"48",48,"venonat","venonat venomoth"
"49",49,"venomoth","venonat venomoth"
"50",50,"diglett","diglett dugtrio"
"51",51,"dugtrio","diglett dugtrio"
"52",52,"meowth","meowth persian"
"53",53,"persian","meowth persian"
"54",54,"psyduck","psyduck golduck"
"55",55,"golduck","psyduck golduck"
"56",56,"mankey","mankey primeape"
"57",57,"primeape","mankey primeape"
"58",58,"growlithe","growlithe arcanine"
"59",59,"arcanine","growlithe arcanine"
"60",60,"poliwag","poliwag poliwhirl poliwrath politoed"
"61",61,"poliwhirl","poliwag poliwhirl poliwrath politoed"
"62",62,"poliwrath","poliwag poliwhirl poliwrath politoed"
"63",63,"abra","abra kadabra alakazam"
"64",64,"kadabra","abra kadabra alakazam"
"65",65,"alakazam","abra kadabra alakazam"
"66",66,"machop","machop machoke machamp"
"67",67,"machoke","machop machoke machamp"
"68",68,"machamp","machop machoke machamp"
"69",69,"bellsprout","bellsprout weepinbell victreebel"
"70",70,"weepinbell","bellsprout weepinbell victreebel"
"71",71,"victreebel","bellsprout weepinbell victreebel"
"72",72,"tentacool","tentacool tentacruel"
"73",73,"tentacruel","tentacool tentacruel"
"74",74,"geodude","geodude graveler golem"
"75",75,"graveler","geodude graveler golem"
"76",76,"golem","geodude graveler golem"
"77",77,"ponyta","ponyta rapidash"
"78",78,"rapidash","ponyta rapidash"
"79",79,"slowpoke","slowpoke slowbro slowking"
"80",80,"slowbro","slowpoke slowbro slowking"
"81",81,"magnemite","magnemite magneton magnezone"
"82",82,"magneton","magnemite magneton magnezone"
"83",83,"farfetchd","farfetchd"
"84",84,"doduo","doduo dodrio"
"85",85,"dodrio","doduo dodrio"
"86",86,"seel","seel dewgong"
"87",87,"dewgong","seel dewgong"
"88",88,"grimer","grimer muk"
"89",89,"muk","grimer muk"
"90",90,"shellder","shellder cloyster"
"91",91,"cloyster","shellder cloyster"
"92",92,"gastly","gastly haunter gengar"
"93",93,"haunter","gastly haunter gengar"
"94",94,"gengar","gastly haunter gengar"
"95",95,"onix","onix steelix"
"96",96,"drowzee","drowzee hypno"
"97",97,"hypno","drowzee hypno"
"98",98,"krabby","krabby kingler"
"99",99,"kingler","krabby kingler"
"100",100,"voltorb","voltorb electrode"
