"","id","name","chain"
"1",601,"klinklang","klink klang klinklang"
"2",602,"tynamo","tynamo eelektrik eelektross"
"3",603,"eelektrik","tynamo eelektrik eelektross"
"4",604,"eelektross","tynamo eelektrik eelektross"
"5",605,"elgyem","elgyem beheeyem"
"6",606,"beheeyem","elgyem beheeyem"
"7",607,"litwick","litwick lampent chandelure"
"8",608,"lampent","litwick lampent chandelure"
"9",609,"chandelure","litwick lampent chandelure"
"10",610,"axew","axew fraxure haxorus"
"11",611,"fraxure","axew fraxure haxorus"
"12",612,"haxorus","axew fraxure haxorus"
"13",613,"cubchoo","cubchoo beartic"
"14",614,"beartic","cubchoo beartic"
"15",615,"cryogonal","cryogonal"
"16",616,"shelmet","shelmet accelgor"
"17",617,"accelgor","shelmet accelgor"
"18",618,"stunfisk","stunfisk"
"19",619,"mienfoo","mienfoo mienshao"
"20",620,"mienshao","mienfoo mienshao"
"21",621,"druddigon","druddigon"
"22",622,"golett","golett golurk"
"23",623,"golurk","golett golurk"
"24",624,"pawniard","pawniard bisharp"
"25",625,"bisharp","pawniard bisharp"
"26",626,"bouffalant","bouffalant"
"27",627,"rufflet","rufflet braviary"
"28",628,"braviary","rufflet braviary"
"29",629,"vullaby","vullaby mandibuzz"
"30",630,"mandibuzz","vullaby mandibuzz"
"31",631,"heatmor","heatmor"
"32",632,"durant","durant"
"33",633,"deino","deino zweilous hydreigon"
"34",634,"zweilous","deino zweilous hydreigon"
"35",635,"hydreigon","deino zweilous hydreigon"
"36",636,"larvesta","larvesta volcarona"
"37",637,"volcarona","larvesta volcarona"
"38",638,"cobalion","cobalion"
"39",639,"terrakion","terrakion"
"40",640,"virizion","virizion"
"41",641,"tornadus-incarnate","tornadus"
"42",642,"thundurus-incarnate","thundurus"
"43",643,"reshiram","reshiram"
"44",644,"zekrom","zekrom"
"45",645,"landorus-incarnate","landorus"
"46",646,"kyurem","kyurem"
"47",647,"keldeo-ordinary","keldeo"
"48",648,"meloetta-aria","meloetta"
"49",649,"genesect","genesect"
"50",650,"chespin","chespin quilladin chesnaught"
"51",651,"quilladin","chespin quilladin chesnaught"
"52",652,"chesnaught","chespin quilladin chesnaught"
"53",653,"fennekin","fennekin braixen delphox"
"54",654,"braixen","fennekin braixen delphox"
"55",655,"delphox","fennekin braixen delphox"
"56",656,"froakie","froakie frogadier greninja"
"57",657,"frogadier","froakie frogadier greninja"
"58",658,"greninja","froakie frogadier greninja"
"59",659,"bunnelby","bunnelby diggersby"
"60",660,"diggersby","bunnelby diggersby"
"61",661,"fletchling","fletchling fletchinder talonflame"
"62",662,"fletchinder","fletchling fletchinder talonflame"
"63",663,"talonflame","fletchling fletchinder talonflame"
"64",664,"scatterbug","scatterbug spewpa vivillon"
"65",665,"spewpa","scatterbug spewpa vivillon"
"66",666,"vivillon","scatterbug spewpa vivillon"
"67",667,"litleo","litleo pyroar"
"68",668,"pyroar","litleo pyroar"
"69",669,"flabebe","flabebe floette florges"
"70",670,"floette","flabebe floette florges"
"71",671,"florges","flabebe floette florges"
"72",672,"skiddo","skiddo gogoat"
"73",673,"gogoat","skiddo gogoat"
"74",674,"pancham","pancham pangoro"
"75",675,"pangoro","pancham pangoro"
"76",676,"furfrou","furfrou"
"77",677,"espurr","espurr meowstic"
"78",678,"meowstic-male","espurr meowstic"
"79",679,"honedge","honedge doublade aegislash"
"80",680,"doublade","honedge doublade aegislash"
"81",681,"aegislash-shield","honedge doublade aegislash"
"82",682,"spritzee","spritzee aromatisse"
"83",683,"aromatisse","spritzee aromatisse"
"84",684,"swirlix","swirlix slurpuff"
"85",685,"slurpuff","swirlix slurpuff"
"86",686,"inkay","inkay malamar"
"87",687,"malamar","inkay malamar"
"88",688,"binacle","binacle barbaracle"
"89",689,"barbaracle","binacle barbaracle"
"90",690,"skrelp","skrelp dragalge"
"91",691,"dragalge","skrelp dragalge"
"92",692,"clauncher","clauncher clawitzer"
"93",693,"clawitzer","clauncher clawitzer"
"94",694,"helioptile","helioptile heliolisk"
"95",695,"heliolisk","helioptile heliolisk"
"96",696,"tyrunt","tyrunt tyrantrum"
"97",697,"tyrantrum","tyrunt tyrantrum"
"98",698,"amaura","amaura aurorus"
"99",699,"aurorus","amaura aurorus"
"100",700,"sylveon","eevee vaporeon jolteon flareon espeon umbreon leafeon glaceon sylveon"
"101",701,"hawlucha","hawlucha"
"102",702,"dedenne","dedenne"
"103",703,"carbink","carbink"
"104",704,"goomy","goomy sliggoo goodra"
"105",705,"sliggoo","goomy sliggoo goodra"
"106",706,"goodra","goomy sliggoo goodra"
"107",707,"klefki","klefki"
"108",708,"phantump","phantump trevenant"
"109",709,"trevenant","phantump trevenant"
"110",710,"pumpkaboo-average","pumpkaboo gourgeist"
"111",711,"gourgeist-average","pumpkaboo gourgeist"
"112",712,"bergmite","bergmite avalugg"
"113",713,"avalugg","bergmite avalugg"
"114",714,"noibat","noibat noivern"
"115",715,"noivern","noibat noivern"
"116",716,"xerneas","xerneas"
"117",717,"yveltal","yveltal"
"118",718,"zygarde","zygarde"
"119",719,"diancie","diancie"
"120",720,"hoopa","hoopa"
"121",721,"volcanion","volcanion"
