"","id","name","chain"
"1",201,"unown","unown"
"2",202,"wobbuffet","wynaut wobbuffet"
"3",203,"girafarig","girafarig"
"4",204,"pineco","pineco forretress"
"5",205,"forretress","pineco forretress"
"6",206,"dunsparce","dunsparce"
"7",207,"gligar","gligar gliscor"
"8",208,"steelix","onix steelix"
"9",209,"snubbull","snubbull granbull"
"10",210,"granbull","snubbull granbull"
"11",211,"qwilfish","qwilfish"
"12",212,"scizor","scyther scizor"
"13",213,"shuckle","shuckle"
"14",214,"heracross","heracross"
"15",215,"sneasel","sneasel weavile"
"16",216,"teddiursa","teddiursa ursaring"
"17",217,"ursaring","teddiursa ursaring"
"18",218,"slugma","slugma magcargo"
"19",219,"magcargo","slugma magcargo"
"20",220,"swinub","swinub piloswine mamoswine"
"21",221,"piloswine","swinub piloswine mamoswine"
"22",222,"corsola","corsola"
"23",223,"remoraid","remoraid octillery"
"24",224,"octillery","remoraid octillery"
"25",225,"delibird","delibird"
"26",226,"mantine","mantyke mantine"
"27",227,"skarmory","skarmory"
"28",228,"houndour","houndour houndoom"
"29",229,"houndoom","houndour houndoom"
"30",230,"kingdra","horsea seadra kingdra"
"31",231,"phanpy","phanpy donphan"
"32",232,"donphan","phanpy donphan"
"33",233,"porygon2","porygon porygon2 porygon-z"
"34",234,"stantler","stantler"
"35",235,"smeargle","smeargle"
"36",236,"tyrogue","tyrogue hitmonlee hitmonchan hitmontop"
"37",237,"hitmontop","tyrogue hitmonlee hitmonchan hitmontop"
"38",238,"smoochum","smoochum jynx"
"39",239,"elekid","elekid electabuzz electivire"
"40",240,"magby","magby magmar magmortar"
"41",241,"miltank","miltank"
"42",242,"blissey","happiny chansey blissey"
"43",243,"raikou","raikou"
"44",244,"entei","entei"
"45",245,"suicune","suicune"
"46",246,"larvitar","larvitar pupitar tyranitar"
"47",247,"pupitar","larvitar pupitar tyranitar"
"48",248,"tyranitar","larvitar pupitar tyranitar"
"49",249,"lugia","lugia"
"50",250,"ho-oh","ho-oh"
"51",251,"celebi","celebi"
"52",252,"treecko","treecko grovyle sceptile"
"53",253,"grovyle","treecko grovyle sceptile"
"54",254,"sceptile","treecko grovyle sceptile"
"55",255,"torchic","torchic combusken blaziken"
"56",256,"combusken","torchic combusken blaziken"
"57",257,"blaziken","torchic combusken blaziken"
"58",258,"mudkip","mudkip marshtomp swampert"
"59",259,"marshtomp","mudkip marshtomp swampert"
"60",260,"swampert","mudkip marshtomp swampert"
"61",261,"poochyena","poochyena mightyena"
"62",262,"mightyena","poochyena mightyena"
"63",263,"zigzagoon","zigzagoon linoone"
"64",264,"linoone","zigzagoon linoone"
"65",265,"wurmple","wurmple silcoon beautifly cascoon"
"66",266,"silcoon","wurmple silcoon beautifly cascoon"
"67",267,"beautifly","wurmple silcoon beautifly cascoon"
"68",268,"cascoon","wurmple silcoon beautifly cascoon"
"69",269,"dustox","wurmple silcoon beautifly cascoon"
"70",270,"lotad","lotad lombre ludicolo"
"71",271,"lombre","lotad lombre ludicolo"
"72",272,"ludicolo","lotad lombre ludicolo"
"73",273,"seedot","seedot nuzleaf shiftry"
"74",274,"nuzleaf","seedot nuzleaf shiftry"
"75",275,"shiftry","seedot nuzleaf shiftry"
"76",276,"taillow","taillow swellow"
"77",277,"swellow","taillow swellow"
"78",278,"wingull","wingull pelipper"
"79",279,"pelipper","wingull pelipper"
"80",280,"ralts","ralts kirlia gardevoir gallade"
"81",281,"kirlia","ralts kirlia gardevoir gallade"
"82",282,"gardevoir","ralts kirlia gardevoir gallade"
"83",283,"surskit","surskit masquerain"
"84",284,"masquerain","surskit masquerain"
"85",285,"shroomish","shroomish breloom"
"86",286,"breloom","shroomish breloom"
"87",287,"slakoth","slakoth vigoroth slaking"
"88",288,"vigoroth","slakoth vigoroth slaking"
"89",289,"slaking","slakoth vigoroth slaking"
"90",290,"nincada","nincada ninjask shedinja"
"91",291,"ninjask","nincada ninjask shedinja"
"92",292,"shedinja","nincada ninjask shedinja"
"93",293,"whismur","whismur loudred exploud"
"94",294,"loudred","whismur loudred exploud"
"95",295,"exploud","whismur loudred exploud"
"96",296,"makuhita","makuhita hariyama"
"97",297,"hariyama","makuhita hariyama"
"98",298,"azurill","azurill marill azumarill"
"99",299,"nosepass","nosepass probopass"
"100",300,"skitty","skitty delcatty"
