"","id","name","chain"
"1",101,"electrode","voltorb electrode"
"2",102,"exeggcute","exeggcute exeggutor"
"3",103,"exeggutor","exeggcute exeggutor"
"4",104,"cubone","cubone marowak"
"5",105,"marowak","cubone marowak"
"6",106,"hitmonlee","tyrogue hitmonlee hitmonchan hitmontop"
"7",107,"hitmonchan","tyrogue hitmonlee hitmonchan hitmontop"
"8",108,"lickitung","lickitung lickilicky"
"9",109,"koffing","koffing weezing"
"10",110,"weezing","koffing weezing"
"11",111,"rhyhorn","rhyhorn rhydon rhyperior"
"12",112,"rhydon","rhyhorn rhydon rhyperior"
"13",113,"chansey","happiny chansey blissey"
"14",114,"tangela","tangela tangrowth"
"15",115,"kangaskhan","kangaskhan"
"16",116,"horsea","horsea seadra kingdra"
"17",117,"seadra","horsea seadra kingdra"
"18",118,"goldeen","goldeen seaking"
"19",119,"seaking","goldeen seaking"
"20",120,"staryu","staryu starmie"
"21",121,"starmie","staryu starmie"
"22",122,"mr-mime","mime-jr mr-mime"
"23",123,"scyther","scyther scizor"
"24",124,"jynx","smoochum jynx"
"25",125,"electabuzz","elekid electabuzz electivire"
"26",126,"magmar","magby magmar magmortar"
"27",127,"pinsir","pinsir"
"28",128,"tauros","tauros"
"29",129,"magikarp","magikarp gyarados"
"30",130,"gyarados","magikarp gyarados"
"31",131,"lapras","lapras"
"32",132,"ditto","ditto"
"33",133,"eevee","eevee vaporeon jolteon flareon espeon umbreon leafeon glaceon sylveon"
"34",134,"vaporeon","eevee vaporeon jolteon flareon espeon umbreon leafeon glaceon sylveon"
"35",135,"jolteon","eevee vaporeon jolteon flareon espeon umbreon leafeon glaceon sylveon"
"36",136,"flareon","eevee vaporeon jolteon flareon espeon umbreon leafeon glaceon sylveon"
"37",137,"porygon","porygon porygon2 porygon-z"
"38",138,"omanyte","omanyte omastar"
"39",139,"omastar","omanyte omastar"
"40",140,"kabuto","kabuto kabutops"
"41",141,"kabutops","kabuto kabutops"
"42",142,"aerodactyl","aerodactyl"
"43",143,"snorlax","munchlax snorlax"
"44",144,"articuno","articuno"
"45",145,"zapdos","zapdos"
"46",146,"moltres","moltres"
"47",147,"dratini","dratini dragonair dragonite"
"48",148,"dragonair","dratini dragonair dragonite"
"49",149,"dragonite","dratini dragonair dragonite"
"50",150,"mewtwo","mewtwo"
"51",151,"mew","mew"
"52",152,"chikorita","chikorita bayleef meganium"
"53",153,"bayleef","chikorita bayleef meganium"
"54",154,"meganium","chikorita bayleef meganium"
"55",155,"cyndaquil","cyndaquil quilava typhlosion"
"56",156,"quilava","cyndaquil quilava typhlosion"
"57",157,"typhlosion","cyndaquil quilava typhlosion"
"58",158,"totodile","totodile croconaw feraligatr"
"59",159,"croconaw","totodile croconaw feraligatr"
"60",160,"feraligatr","totodile croconaw feraligatr"
"61",161,"sentret","sentret furret"
"62",162,"furret","sentret furret"
"63",163,"hoothoot","hoothoot noctowl"
"64",164,"noctowl","hoothoot noctowl"
"65",165,"ledyba","ledyba ledian"
"66",166,"ledian","ledyba ledian"
"67",167,"spinarak","spinarak ariados"
"68",168,"ariados","spinarak ariados"
"69",169,"crobat","zubat golbat crobat"
"70",170,"chinchou","chinchou lanturn"
"71",171,"lanturn","chinchou lanturn"
"72",172,"pichu","pichu pikachu raichu"
"73",173,"cleffa","cleffa clefairy clefable"
"74",174,"igglybuff","igglybuff jigglypuff wigglytuff"
"75",175,"togepi","togepi togetic togekiss"
"76",176,"togetic","togepi togetic togekiss"
"77",177,"natu","natu xatu"
"78",178,"xatu","natu xatu"
"79",179,"mareep","mareep flaaffy ampharos"
"80",180,"flaaffy","mareep flaaffy ampharos"
"81",181,"ampharos","mareep flaaffy ampharos"
"82",182,"bellossom","oddish gloom vileplume bellossom"
"83",183,"marill","azurill marill azumarill"
"84",184,"azumarill","azurill marill azumarill"
"85",185,"sudowoodo","bonsly sudowoodo"
"86",186,"politoed","poliwag poliwhirl poliwrath politoed"
"87",187,"hoppip","hoppip skiploom jumpluff"
"88",188,"skiploom","hoppip skiploom jumpluff"
"89",189,"jumpluff","hoppip skiploom jumpluff"
"90",190,"aipom","aipom ambipom"
"91",191,"sunkern","sunkern sunflora"
"92",192,"sunflora","sunkern sunflora"
"93",193,"yanma","yanma yanmega"
"94",194,"wooper","wooper quagsire"
"95",195,"quagsire","wooper quagsire"
"96",196,"espeon","eevee vaporeon jolteon flareon espeon umbreon leafeon glaceon sylveon"
"97",197,"umbreon","eevee vaporeon jolteon flareon espeon umbreon leafeon glaceon sylveon"
"98",198,"murkrow","murkrow honchkrow"
"99",199,"slowking","slowpoke slowbro slowking"
"100",200,"misdreavus","misdreavus mismagius"
